SourcePlateSheet v1.1,,,,,,,,,
,,,,,,,,,
Container,Barcode,Title,Author,Date,Description,,,,
384PP,0,Reagents for Ugi Product formation,Chris Arcadia,7/27/20,source plate sheet for Library 11,,,,
,,,,,,,,,
Type,Name,CID,Solvent,Concentration,Volume,Start,End,Mass,Note
amine,4-chlorobenzylamine,66036,DMSO,0.5,6.00E-05,A1,A6,141.034527,
amine,benzylamine,7504,DMSO,0.5,6.00E-05,A7,A12,107.073499,
amine,4-methylbenzylamine,66035,DMSO,0.5,6.00E-05,A13,A18,121.089149,
amine,pentylamine,8060,DMSO,0.5,6.00E-05,A19,A24,87.104799,
aldehyde,valeraldehyde,8063,DMSO,0.5,6.00E-05,C1,C6,86.073165,
aldehyde,cyclohexanecarboxaldehyde,16275,DMSO,0.5,6.00E-05,C7,C12,112.088815,
aldehyde,3-phenylpropionaldehyde,7707,DMSO,0.5,6.00E-05,C13,C18,134.073165,
aldehyde,heptanal,8130,DMSO,0.5,6.00E-05,C19,C24,114.104465,
carboxylic acid,3-(4-Methoxyphenyl)propionic acid,95750,DMSO,0.5,6.00E-05,E1,E6,180.078644,
carboxylic acid,Boc-N-methyl-L-Valine,7010608,DMSO,0.5,6.00E-05,E7,E12,231.147058,
carboxylic acid,Boc-L-methionine,89857,DMSO,0.5,6.00E-05,E13,E18,249.103479,
carboxylic acid,Boc-O-methyl tyrosine,2762280,DMSO,0.5,6.00E-05,E19,E24,295.141973,
isocyanide,ethyl isocyanoacetate,533707,DMSO,0.5,6.00E-05,G1,G6,113.047678,
isocyanide,methyl isocyanoacetate,547815,DMSO,0.5,6.00E-05,G7,G12,99.032028,
isocyanide,benzyl isocyanide,82558,DMSO,0.5,6.00E-05,G13,G18,117.057849,
isocyanide,2-naphthyl isocyanide,16217475,DMSO,0.5,6.00E-05,G19,G24,153.057849,
isocyanide,tert-butyl isocyanide,23577,DMSO,0.5,6.00E-05,I1,I5,83.073499,
matrix,alpha-Cyano,5328791,DMSO,2.64E-02,5.00E-05,K1,K4,189.042593,
aligner,alpha-Cyano,5328791,DMSO,2.64E-02,5.00E-05,K5,K5,189.042593,
solvent,dimethyl sulfoxide,679,N/A,N/A,5.00E-05,P24,P24,78.013936,skip this line (no dilution)
